Id xOrigin yOrigin xEnd yEnd
57 0.75 0.25 0.875 0.375
59 1 0.25 0.875 0.375
60 0.75 0 0.875 0.125
61 0.875 0.125 0.75 0.25
62 1 0 0.875 0.125
63 1 0.25 0.875 0.125
64 0.875 0.375 0.875 0.25
65 0.875 0.25 1 0.25
66 0.75 0.25 0.875 0.25
67 0.875 0.125 0.875 0.25
68 1 0.5 1 0.375
70 1 0.375 1 0.25
71 0.875 0.375 1 0.375
73 0.8125 0.5625 0.75 0.75
78 0.75 0.125 0.75 0.25
79 0.75 0 0.75 0.125
81 0.875 0.125 0.75 0.125
83 0.625 0.1875 0.5 0.25
84 0.75 0.125 0.625 0.1875
86 0.75 0.25 0.625 0.1875
87 0.5 0 0.515625 0.125
88 0.515625 0.125 0.5 0.25
89 0.625 0.1875 0.515625 0.125
97 0.5 0 0.625 0
98 0.625 0 0.515625 0.125
99 0.625 0 0.75 0
103 0.375 0 0.5 0
104 0.25 0 0.375 0
106 0.75 0.125 0.65625 0.09375
107 0.65625 0.09375 0.625 0
108 0.625 0.1875 0.65625 0.09375
109 0.65625 0.09375 0.515625 0.125
110 0.65625 0.09375 0.75 0
118 0.25 0 0.3125 0.0833333
119 0.3125 0.0833333 0.3125 0.1875
120 0.375 0 0.3125 0.0833333
122 0.515625 0.125 0.407652 0.135417
123 0.407652 0.135417 0.3125 0.0833333
124 0.3125 0.1875 0.407652 0.135417
125 0.407652 0.135417 0.5 0.25
126 0.407652 0.135417 0.375 0
127 0.407652 0.135417 0.5 0
132 0.25 0 0.15625 0.135417
134 0.3125 0.1875 0.15625 0.135417
135 0.15625 0.135417 0.3125 0.0833333
144 0 0 0.125 0
145 0.125 0 0.15625 0.135417
146 0.125 0 0.25 0
147 0.15625 0.135417 0.212436 0.227274
148 0.212436 0.227274 0.178385 0.329427
149 0.3125 0.1875 0.212436 0.227274
151 0.178385 0.329427 0.107326 0.248989
152 0.107326 0.248989 0.212436 0.227274
153 0 0.25 0.107326 0.248989
154 0.107326 0.248989 0.15625 0.135417
155 0.875 0.125 0.875 0
156 0.875 0 1 0
157 0.75 0 0.875 0
159 1 0.125 1 0
160 1 0.25 1 0.125
161 0.875 0.125 1 0.125
162 1 0.5 0.890625 0.484375
163 0.890625 0.484375 0.875 0.375
164 0.8125 0.5625 0.890625 0.484375
165 0.890625 0.484375 1 0.375
171 0.5 0.5 0.640625 0.609375
173 0.8125 0.5625 0.640625 0.609375
179 0.8125 0.5625 0.703125 0.421875
180 0.703125 0.421875 0.875 0.375
181 0.703125 0.421875 0.890625 0.484375
185 0.5 0.25 0.613839 0.321429
186 0.613839 0.321429 0.703125 0.421875
187 0.625 0.1875 0.613839 0.321429
190 0.75 0.25 0.705212 0.330115
