Id X Y
0 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e+00 0.0000000000000000e+00
2 1.0000000000000000e+00 1.0000000000000000e+00
3 0.0000000000000000e+00 1.0000000000000000e+00
4 5.0000000000000000e-01 5.0000000000000000e-01
5 0.0000000000000000e+00 5.0000000000000000e-01
6 5.0000000000000000e-01 0.0000000000000000e+00
7 1.0000000000000000e+00 5.0000000000000000e-01
8 5.0000000000000000e-01 1.0000000000000000e+00
9 7.5000000000000000e-01 2.5000000000000000e-01
10 2.5000000000000000e-01 7.5000000000000000e-01
11 7.5000000000000000e-01 7.5000000000000000e-01
12 5.0000000000000000e-01 2.5000000000000000e-01
13 7.5000000000000000e-01 0.0000000000000000e+00
14 1.0000000000000000e+00 2.5000000000000000e-01
15 8.7500000000000000e-01 3.7500000000000000e-01
16 8.7500000000000000e-01 1.2500000000000000e-01
17 8.7500000000000000e-01 2.5000000000000000e-01
18 1.0000000000000000e+00 3.7500000000000000e-01
19 8.1250000000000000e-01 5.6250000000000000e-01
20 7.5000000000000000e-01 1.2500000000000000e-01
21 6.2500000000000000e-01 1.8750000000000000e-01
22 5.1562500000000000e-01 1.2500000000000000e-01
23 2.5000000000000000e-01 0.0000000000000000e+00
24 6.2500000000000000e-01 0.0000000000000000e+00
25 3.7500000000000000e-01 0.0000000000000000e+00
26 6.5625000000000000e-01 9.3750000000000000e-02
27 3.1250000000000000e-01 1.8750000000000000e-01
28 3.1250000000000000e-01 8.3333333333333329e-02
29 4.0765224358974361e-01 1.3541666666666669e-01
30 0.0000000000000000e+00 2.5000000000000000e-01
31 1.5625000000000000e-01 1.3541666666666666e-01
32 1.7838541666666669e-01 3.2942708333333331e-01
33 1.2500000000000000e-01 0.0000000000000000e+00
34 2.1243640988372092e-01 2.2727410368217052e-01
35 1.0732561090650046e-01 2.4898882605152084e-01
36 8.7500000000000000e-01 0.0000000000000000e+00
37 1.0000000000000000e+00 1.2500000000000000e-01
38 8.9062500000000000e-01 4.8437500000000000e-01
39 1.0000000000000000e+00 7.5000000000000000e-01
40 6.4062500000000000e-01 6.0937500000000000e-01
41 7.0312500000000000e-01 4.2187500000000000e-01
42 6.1383928571428570e-01 3.2142857142857140e-01
43 7.0521156832298137e-01 3.3011451863354035e-01
44 5.9047287306642404e-01 4.3210446997270241e-01
45 6.5431605040539143e-01 5.0977201680179718e-01
46 4.7690612331292126e-01 3.7500000000000000e-01
47 3.0958071190870190e-01 4.7054684790242207e-01
48 3.8158154060913968e-01 2.9275537817258102e-01
49 4.0993598636814743e-01 4.5200610923630707e-01
50 3.8628975306856161e-01 6.0488274858650282e-01
51 5.1308402026862776e-01 6.2826697394033570e-01
52 5.9717642032435814e-01 7.5601556196994368e-01
53 4.2069841183882972e-01 7.7375656677949090e-01
54 4.3755057770031924e-01 6.8238052208227773e-01
55 2.3688673219252374e-01 6.0112617179819117e-01
56 6.7143319641794930e-01 6.9826029167492831e-01
57 7.5000000000000000e-01 1.0000000000000000e+00
58 2.5000000000000000e-01 1.0000000000000000e+00
59 3.0991104429350352e-01 6.6970840697218537e-01
60 0.0000000000000000e+00 7.5000000000000000e-01
61 1.6354210246515746e-01 4.7477079032226888e-01
62 2.3470886295344176e-01 4.0860894416138882e-01
63 0.0000000000000000e+00 6.2500000000000000e-01
64 0.0000000000000000e+00 3.7500000000000000e-01
65 9.3358783607142060e-02 5.6250000000000000e-01
66 1.0008796871013832e-01 3.9486070371301762e-01
67 1.3737854967673768e-01 6.8490560338158168e-01
68 6.7839016385867934e-01 8.7500000000000000e-01
69 6.2500000000000000e-01 1.0000000000000000e+00
70 5.4709011609829450e-01 8.7741110596908611e-01
71 3.7500000000000000e-01 1.0000000000000000e+00
72 5.1163838872690914e-01 7.9175389280586739e-01
73 3.2013719031841231e-01 8.7118140484079387e-01
74 4.3325588570776474e-01 8.8733000764046754e-01
75 0.0000000000000000e+00 1.2500000000000000e-01
76 8.1380208333333329e-02 8.1380208333333329e-02
77 1.0000000000000000e+00 6.2500000000000000e-01
78 8.7500000000000000e-01 6.8750000000000000e-01
79 8.7500000000000000e-01 8.7500000000000000e-01
80 8.4375000000000000e-01 7.8125000000000000e-01
81 7.7669508192933967e-01 9.0169508192933967e-01
82 1.0000000000000000e+00 8.7500000000000000e-01
83 8.7500000000000000e-01 1.0000000000000000e+00
84 1.2500000000000000e-01 8.7500000000000000e-01
85 2.2205919044002964e-01 8.4705919044002964e-01
86 9.7256809508744324e-02 7.7774319049125573e-01
87 1.2500000000000000e-01 1.0000000000000000e+00
88 0.0000000000000000e+00 8.7500000000000000e-01
